web-scraper-order,web-scraper-start-url,team_list,team_list-href,player_list,player_list-href,Name,Birth,Amplua,Height,Photo-src,Sport-achievements-src,Weight,team-name
"1585688724-938","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Андрій Семко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2313/Itemid,4259/","Андрій Семко","14. 03. 1996 (23)","Нападаючий","192 cm","https://ukv.org.ua//images/stories/Classic/2014-2015/Teams/Sahalin/SEMKO.jpg","","70 kg","Команда  Прорив"
"1585688693-924","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12439/Itemid,4259/","Олександр Кислий","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,1451/Itemid,4259/","Олександр Кислий","01. 03. 1986 (33)","Нападаючий","184 cm","https://ukv.org.ua/images/stories/Classic/2012-2013/Man/Transfer/Kisliy.jpg","","80 kg","Команда  Райдужний"
"1585688782-963","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12437/Itemid,4259/","Андрій Буков","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3550/Itemid,4259/","Андрій Буков","03. 11. 1997 (21)","Зв`язуючий","183 cm","https://ukv.org.ua//images/stories/Classic/2017-2018/Teams/photo/NUBIP2/Bukov_NUB2.jpg","","null","Команда  НАСОА"
"1585688728-940","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Ярослав Жарєнов","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2428/Itemid,4259/","Ярослав Жарєнов","29. 04. 1993 (26)","Діагональний","185 cm","https://ukv.org.ua//images/stories/Classic/2015-2016/Darta/jarenovyaroslav.jpg","","80 kg","Команда  Прорив"
"1585688708-930","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Іван Захарчук","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2042/Itemid,4259/","Іван Захарчук","06. 10. 1994 (24)","Зв`язуючий","188 cm","https://ukv.org.ua//images/stories/Classic/2014-2015/Teams/Raduga/Zaharchuk.jpg","","87 kg","Команда  Прорив"
"1585688788-966","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12437/Itemid,4259/","Андрій Гуляєв","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,275/Itemid,4259/","Андрій Гуляєв","09. 04. 1982 (37)","Блокуючий","190 cm","https://ukv.org.ua//images/stories/Classic/2014-2015/Teams/NASOA/guliaev.jpg","","null","Команда  НАСОА"
"1585688776-961","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Олексій Васильківський","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3791/Itemid,4259/","Олексій Васильківський","10. 06. 1999 (20)","Діагональний","190 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Vasylkivsky.jpg","","null","Команда  НУБіП"
"1585688706-929","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Микола Невськiй","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3405/Itemid,4259/","Микола Невськiй","23. 10. 1996 (22)","Ліберо","178 cm","https://ukv.org.ua//images/stories/Beach/2017/Team/foto/klasika/Nevskii_KP2.jpg","","null","Команда  Прорив"
"1585688602-884","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12442/Itemid,4259/","Геннадій Коба","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2672/Itemid,4259/","Геннадій Коба","14. 09. 1973 (46)","Ліберо","187 cm","https://ukv.org.ua//images/stories/Classic/2015-2016/Temp/koba_genn.jpg","","95 kg","Команда  Укрспецтехніка"
"1585688660-909","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12440/Itemid,4259/","Олександр Ревенко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,824/Itemid,4259/","Олександр Ревенко","30. 12. 1977 (41)","Блокуючий","182 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Morita/Revenko.jpg","","80 kg","Команда  ТНТ"
